"","owner","name","date","version","version_ext","V1","V2","V3","calculated_ver"
"1","angular","angular",2017-06-01,"4.2.0-rc.2","4.2.0","4","2","0",4002000
"2","angular","angular",2017-05-26,"4.2.0-rc.1","4.2.0","4","2","0",4002000
"3","angular","angular",2017-05-19,"4.2.0-rc.0","4.2.0","4","2","0",4002000
"4","angular","angular",2017-05-18,"archive/0503-router",NA,NA,NA,NA,NA
"5","angular","angular",2017-05-17,"4.1.3","4.1.3","4","1","3",4001003
"6","angular","angular",2017-05-17,"archive/0516-nobundle",NA,NA,NA,NA,NA
"7","angular","angular",2017-05-12,"archive/0512-ng1router",NA,NA,NA,NA,NA
"8","angular","angular",2017-05-10,"4.2.0-beta.1","4.2.0","4","2","0",4002000
"9","angular","angular",2017-05-10,"4.1.2","4.1.2","4","1","2",4001002
"10","angular","angular",2017-05-04,"4.2.0-beta.0","4.2.0","4","2","0",4002000
"11","angular","angular",2017-05-04,"4.1.1","4.1.1","4","1","1",4001001
"12","angular","angular",2017-04-30,"archive/0428-cmpout",NA,NA,NA,NA,NA
"13","angular","angular",2017-04-28,"archive/0428-golden",NA,NA,NA,NA,NA
"14","angular","angular",2017-04-27,"archive/0427-redirect",NA,NA,NA,NA,NA
"15","angular","angular",2017-04-26,"4.1.0","4.1.0","4","1","0",4001000
"16","angular","angular",2017-04-25,"archive/0427-transformers",NA,NA,NA,NA,NA
"17","angular","angular",2017-04-21,"archive/0421-router",NA,NA,NA,NA,NA
"18","angular","angular",2017-04-21,"4.1.0-rc.0","4.1.0","4","1","0",4001000
"19","angular","angular",2017-04-21,"4.0.3","4.0.3","4","0","3",4000003
"20","angular","angular",2017-04-19,"archive/0419-tscw",NA,NA,NA,NA,NA
"21","angular","angular",2017-04-17,"archive/0414-upts",NA,NA,NA,NA,NA
"22","angular","angular",2017-04-13,"archive/0413-container",NA,NA,NA,NA,NA
"23","angular","angular",2017-04-13,"archive/0413-kvdiff",NA,NA,NA,NA,NA
"24","angular","angular",2017-04-13,"archive/0413-ref",NA,NA,NA,NA,NA
"25","angular","angular",2017-04-12,"archive/0412-router",NA,NA,NA,NA,NA
"26","angular","angular",2017-04-11,"4.0.2","4.0.2","4","0","2",4000002
"27","angular","angular",2017-04-11,"archive/0411-router",NA,NA,NA,NA,NA
"28","angular","angular",2017-04-10,"archive/0410-routerapprove",NA,NA,NA,NA,NA
"29","angular","angular",2017-04-05,"archive/0404-router",NA,NA,NA,NA,NA
"30","angular","angular",2017-04-04,"archive/0402-router",NA,NA,NA,NA,NA
"31","angular","angular",2017-03-29,"4.1.0-beta.0","4.1.0","4","1","0",4001000
"32","angular","angular",2017-03-29,"4.0.1","4.0.1","4","0","1",4000001
"33","angular","angular",2017-03-28,"archive/0324-differ",NA,NA,NA,NA,NA
"34","angular","angular",2017-03-23,"4.0.0","4.0.0","4","0","0",4e+06
"35","angular","angular",2017-03-23,"4.0.0-rc.6","4.0.0","4","0","0",4e+06
"36","angular","angular",2017-03-22,"archive/0322-upInjTake2",NA,NA,NA,NA,NA
"37","angular","angular",2017-03-21,"archive/0321-cleanup",NA,NA,NA,NA,NA
"38","angular","angular",2017-03-20,"archive/0317-paramMap",NA,NA,NA,NA,NA
"39","angular","angular",2017-03-17,"4.0.0-rc.5","4.0.0","4","0","0",4e+06
